anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,289 
2016,1,1,1,323 
2016,1,1,2,337 
2016,1,1,3,331 
2016,1,1,4,309 
2016,1,1,5,280 
2016,1,1,6,249 
2016,1,1,7,222 
2016,1,1,8,202 
2016,1,1,9,186 
2016,1,1,10,176 
2016,1,1,11,177 
2016,1,1,12,186 
2016,1,1,13,191 
2016,1,1,14,186 
2016,1,1,15,174 
2016,1,1,16,155 
2016,1,1,17,140 
2016,1,1,18,133 
2016,1,1,19,134 
2016,1,1,20,145 
2016,1,1,21,171 
2016,1,1,22,205 
2016,1,1,23,243 
2016,1,2,0,282 
2016,1,2,1,318 
2016,1,2,2,339 
2016,1,2,3,341 
2016,1,2,4,323 
2016,1,2,5,290 
2016,1,2,6,250 
2016,1,2,7,212 
2016,1,2,8,179 
2016,1,2,9,154 
2016,1,2,10,136 
2016,1,2,11,131 
2016,1,2,12,143 
2016,1,2,13,161 
2016,1,2,14,173 
2016,1,2,15,179 
2016,1,2,16,181 
2016,1,2,17,181 
2016,1,2,18,180 
2016,1,2,19,182 
2016,1,2,20,187 
2016,1,2,21,201 
2016,1,2,22,226 
2016,1,2,23,257 
2016,1,3,0,288 
2016,1,3,1,319 
2016,1,3,2,342 
2016,1,3,3,350 
2016,1,3,4,337 
2016,1,3,5,305 
2016,1,3,6,259 
2016,1,3,7,211 
2016,1,3,8,166 
2016,1,3,9,128 
2016,1,3,10,101 
2016,1,3,11,89 
2016,1,3,12,98 
2016,1,3,13,123 
2016,1,3,14,150 
2016,1,3,15,171 
2016,1,3,16,192 
2016,1,3,17,210 
2016,1,3,18,221 
2016,1,3,19,227 
2016,1,3,20,231 
2016,1,3,21,237 
2016,1,3,22,252 
2016,1,3,23,277 
2016,1,4,0,304 
2016,1,4,1,329 
2016,1,4,2,350 
2016,1,4,3,361 
2016,1,4,4,353 
2016,1,4,5,324 
2016,1,4,6,276 
2016,1,4,7,219 
2016,1,4,8,163 
2016,1,4,9,112 
2016,1,4,10,73 
2016,1,4,11,51 
2016,1,4,12,53 
2016,1,4,13,77 
2016,1,4,14,114 
2016,1,4,15,151 
2016,1,4,16,187 
2016,1,4,17,222 
2016,1,4,18,250 
2016,1,4,19,263 
2016,1,4,20,269 
2016,1,4,21,273 
2016,1,4,22,280 
2016,1,4,23,297 
2016,1,5,0,321 
2016,1,5,1,344 
2016,1,5,2,362 
2016,1,5,3,375 
