Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-02-06 00:00,0.069,0.043,0,0,0,0,p
2017-02-06 00:06,0.033,0.059,0,0,0,0,p
2017-02-06 00:12,-0.016,0.036,0,0,0,0,p
2017-02-06 00:18,-0.052,0.036,0,0,0,0,p
2017-02-06 00:24,-0.043,0.043,0,0,0,0,p
2017-02-06 00:30,-0.056,0.043,1,0,0,0,p
2017-02-06 00:36,-0.072,0.033,0,0,0,0,p
2017-02-06 00:42,-0.138,0.052,0,0,0,0,p
2017-02-06 00:48,-0.118,0.046,0,0,0,0,p
2017-02-06 00:54,-0.135,0.046,0,0,0,0,p
2017-02-06 01:00,-0.125,0.043,0,0,0,0,p
2017-02-06 01:06,-0.154,0.059,0,0,0,0,p
2017-02-06 01:12,-0.161,0.043,1,0,0,0,p
2017-02-06 01:18,-0.164,0.039,1,0,0,0,p
2017-02-06 01:24,-0.174,0.049,0,0,0,0,p
2017-02-06 01:30,-0.171,0.036,0,0,0,0,p
2017-02-06 01:36,-0.171,0.043,0,0,0,0,p
2017-02-06 01:42,-0.135,0.046,1,0,0,0,p
2017-02-06 01:48,-0.144,0.049,0,0,0,0,p
2017-02-06 01:54,-0.125,0.046,0,0,0,0,p
2017-02-06 02:00,-0.105,0.043,0,0,0,0,p
2017-02-06 02:06,-0.121,0.043,1,0,0,0,p
2017-02-06 02:12,-0.095,0.049,0,0,0,0,p
2017-02-06 02:18,-0.092,0.052,0,0,0,0,p
2017-02-06 02:24,-0.049,0.049,1,0,0,0,p
2017-02-06 02:30,-0.010,,1,0,0,0,p
2017-02-06 02:36,0.010,0.046,0,0,0,0,p
2017-02-06 02:42,0.049,0.049,0,0,0,0,p
2017-02-06 02:48,0.082,0.046,1,0,0,0,p
2017-02-06 02:54,0.148,0.046,0,0,0,0,p
2017-02-06 03:00,0.203,0.049,0,0,0,0,p
2017-02-06 03:06,0.256,0.059,0,0,0,0,p
2017-02-06 03:12,0.315,0.059,0,0,0,0,p
2017-02-06 03:18,0.367,0.069,0,0,0,0,p
2017-02-06 03:24,0.413,0.059,1,0,0,0,p
2017-02-06 03:30,0.466,0.052,0,0,0,0,p
2017-02-06 03:36,0.509,0.059,1,0,0,0,p
2017-02-06 03:42,0.597,,1,0,0,0,p
2017-02-06 03:48,0.617,0.066,0,0,0,0,p
2017-02-06 03:54,0.705,0.062,0,0,0,0,p
2017-02-06 04:00,0.758,0.062,0,0,0,0,p
2017-02-06 04:06,0.827,0.059,0,0,0,0,p
2017-02-06 04:12,0.909,0.069,0,0,0,0,p
2017-02-06 04:18,0.945,0.069,1,0,0,0,p
2017-02-06 04:24,1.043,0.075,0,0,0,0,p
2017-02-06 04:30,1.109,0.066,1,0,0,0,p
2017-02-06 04:36,1.175,0.079,0,0,0,0,p
2017-02-06 04:42,1.240,0.072,0,0,0,0,p
2017-02-06 04:48,1.312,0.079,0,0,0,0,p
2017-02-06 04:54,1.388,0.075,0,0,0,0,p
2017-02-06 05:00,1.437,0.085,0,0,0,0,p
2017-02-06 05:06,1.516,0.069,1,0,0,0,p
2017-02-06 05:12,1.578,0.082,1,0,0,0,p
2017-02-06 05:18,1.637,0.082,1,0,0,0,p
2017-02-06 05:24,1.706,0.079,0,0,0,0,p
2017-02-06 05:30,1.765,0.092,1,0,0,0,p
2017-02-06 05:36,1.857,0.072,1,0,0,0,p
2017-02-06 05:42,1.886,0.075,0,0,0,0,p
2017-02-06 05:48,1.946,0.075,1,0,0,0,p
2017-02-06 05:54,2.005,0.079,1,0,0,0,p
2017-02-06 06:00,2.073,0.062,1,0,0,0,p
2017-02-06 06:06,2.172,0.079,0,0,0,0,p
2017-02-06 06:12,2.149,0.085,1,0,0,0,p
2017-02-06 06:18,2.178,0.092,1,0,0,0,p
2017-02-06 06:24,2.280,0.095,0,0,0,0,p
2017-02-06 06:30,2.336,0.089,0,0,0,0,p
2017-02-06 06:36,2.329,0.102,1,0,0,0,p
2017-02-06 06:42,2.402,0.135,0,0,0,0,p
2017-02-06 06:48,2.444,0.105,1,0,0,0,p
2017-02-06 06:54,2.510,0.105,0,0,0,0,p
2017-02-06 07:00,2.546,0.098,1,0,0,0,p
2017-02-06 07:06,2.552,0.108,0,0,0,0,p
2017-02-06 07:12,2.569,0.085,1,0,0,0,p
2017-02-06 07:18,2.615,0.079,1,0,0,0,p
2017-02-06 07:24,2.648,0.082,0,0,0,0,p
2017-02-06 07:30,2.664,,1,0,0,0,p
2017-02-06 07:36,2.654,0.098,1,0,0,0,p
2017-02-06 07:42,2.684,0.072,1,0,0,0,p
2017-02-06 07:48,2.707,0.095,1,0,0,0,p
2017-02-06 07:54,2.720,0.069,1,0,0,0,p
2017-02-06 08:00,2.694,0.095,1,0,0,0,p
2017-02-06 08:06,2.677,0.079,1,0,0,0,p
2017-02-06 08:12,2.713,0.066,1,0,0,0,p
2017-02-06 08:18,2.697,0.059,1,0,0,0,p
2017-02-06 08:24,2.690,0.072,1,0,0,0,p
2017-02-06 08:30,2.661,0.079,0,0,0,0,p
2017-02-06 08:36,2.671,0.079,0,0,0,0,p
2017-02-06 08:42,2.628,0.059,1,0,0,0,p
2017-02-06 08:48,2.635,0.085,1,0,0,0,p
2017-02-06 08:54,2.585,,1,0,0,0,p
2017-02-06 09:00,2.582,0.089,1,0,0,0,p
2017-02-06 09:06,2.536,0.092,1,0,0,0,p
2017-02-06 09:12,2.543,,1,0,0,0,p
2017-02-06 09:18,2.484,0.092,1,0,0,0,p
2017-02-06 09:24,2.474,0.085,1,0,0,0,p
2017-02-06 09:30,2.421,0.072,1,0,0,0,p
2017-02-06 09:36,2.372,0.089,1,0,0,0,p
2017-02-06 09:42,2.310,0.112,0,0,0,0,p
2017-02-06 09:48,2.254,0.095,1,0,0,0,p
2017-02-06 09:54,2.218,0.075,1,0,0,0,p
2017-02-06 10:00,2.142,0.092,1,0,0,0,p
2017-02-06 10:06,2.083,0.085,1,0,0,0,p
2017-02-06 10:12,2.051,0.085,1,0,0,0,p
2017-02-06 10:18,2.018,0.092,0,0,0,0,p
2017-02-06 10:24,1.978,0.089,0,0,0,0,p
2017-02-06 10:30,1.890,0.085,1,0,0,0,p
2017-02-06 10:36,1.834,0.092,0,0,0,0,p
2017-02-06 10:42,1.781,0.082,1,0,0,0,p
2017-02-06 10:48,1.722,0.102,1,0,0,0,p
2017-02-06 10:54,1.637,0.072,1,0,0,0,p
2017-02-06 11:00,1.598,0.092,1,0,0,0,p
2017-02-06 11:06,1.545,0.115,1,0,0,0,p
2017-02-06 11:12,1.473,0.085,1,0,0,0,p
2017-02-06 11:18,1.427,0.089,1,0,0,0,p
2017-02-06 11:24,1.358,0.098,1,0,0,0,p
2017-02-06 11:30,1.319,0.092,1,0,0,0,p
2017-02-06 11:36,1.253,0.098,0,0,0,0,p
2017-02-06 11:42,1.194,,1,0,0,0,p
2017-02-06 11:48,1.125,0.085,1,0,0,0,p
2017-02-06 11:54,,,1,1,1,1,p
2017-02-06 12:00,,,1,1,1,1,p
2017-02-06 12:06,0.942,,1,0,0,0,p
2017-02-06 12:12,0.902,0.102,1,0,0,0,p
2017-02-06 12:18,0.860,0.079,1,0,0,0,p
2017-02-06 12:24,0.778,0.102,0,0,0,0,p
2017-02-06 12:30,0.761,0.082,1,0,0,0,p
2017-02-06 12:36,0.689,0.089,1,0,0,0,p
2017-02-06 12:42,0.650,0.079,0,0,0,0,p
2017-02-06 12:48,0.620,0.069,1,0,0,0,p
2017-02-06 12:54,0.551,0.095,1,0,0,0,p
2017-02-06 13:00,0.492,0.069,1,0,0,0,p
2017-02-06 13:06,0.443,0.092,1,0,0,0,p
2017-02-06 13:12,0.420,0.095,1,0,0,0,p
2017-02-06 13:18,0.367,0.085,0,0,0,0,p
2017-02-06 13:24,0.341,0.102,1,0,0,0,p
2017-02-06 13:30,0.354,0.079,1,0,0,0,p
2017-02-06 13:36,0.318,0.082,1,0,0,0,p
2017-02-06 13:42,0.308,0.072,1,0,0,0,p
2017-02-06 13:48,0.302,0.079,1,0,0,0,p
2017-02-06 13:54,0.262,0.085,1,0,0,0,p
2017-02-06 14:00,0.240,0.082,1,0,0,0,p
2017-02-06 14:06,0.213,0.095,0,0,0,0,p
2017-02-06 14:12,0.249,0.102,1,0,0,0,p
2017-02-06 14:18,0.223,0.075,1,0,0,0,p
2017-02-06 14:24,0.217,0.079,1,0,0,0,p
2017-02-06 14:30,0.223,0.089,0,0,0,0,p
2017-02-06 14:36,0.259,0.072,1,0,0,0,p
2017-02-06 14:42,0.262,0.079,0,0,0,0,p
2017-02-06 14:48,0.246,0.072,1,0,0,0,p
2017-02-06 14:54,0.292,0.085,1,0,0,0,p
2017-02-06 15:00,0.272,0.079,1,0,0,0,p
2017-02-06 15:06,0.299,0.089,1,0,0,0,p
2017-02-06 15:12,0.315,0.075,0,0,0,0,p
2017-02-06 15:18,0.335,0.082,1,0,0,0,p
2017-02-06 15:24,0.377,0.072,1,0,0,0,p
2017-02-06 15:30,0.427,0.079,1,0,0,0,p
2017-02-06 15:36,0.423,0.085,0,0,0,0,p
2017-02-06 15:42,0.427,0.059,1,0,0,0,p
2017-02-06 15:48,0.436,0.072,0,0,0,0,p
2017-02-06 15:54,0.463,,1,0,0,0,p
2017-02-06 16:00,0.486,0.072,0,0,0,0,p
2017-02-06 16:06,0.558,0.072,1,0,0,0,p
2017-02-06 16:12,0.640,0.062,0,0,0,0,p
2017-02-06 16:18,0.656,0.069,1,0,0,0,p
2017-02-06 16:24,0.725,0.069,0,0,0,0,p
2017-02-06 16:30,0.758,0.082,0,0,0,0,p
2017-02-06 16:36,0.817,0.066,0,0,0,0,p
2017-02-06 16:42,0.850,0.066,1,0,0,0,p
2017-02-06 16:48,0.915,0.059,1,0,0,0,p
2017-02-06 16:54,0.965,0.056,0,0,0,0,p
2017-02-06 17:00,1.014,0.069,0,0,0,0,p
2017-02-06 17:06,1.073,0.075,0,0,0,0,p
2017-02-06 17:12,1.129,0.056,0,0,0,0,p
2017-02-06 17:18,1.132,0.052,0,0,0,0,p
2017-02-06 17:24,1.171,0.062,0,0,0,0,p
2017-02-06 17:30,1.289,0.069,1,0,0,0,p
2017-02-06 17:36,1.332,0.043,1,0,0,0,p
2017-02-06 17:42,1.371,0.049,1,0,0,0,p
2017-02-06 17:48,1.398,0.052,1,0,0,0,p
2017-02-06 17:54,1.467,0.062,1,0,0,0,p
2017-02-06 18:00,1.519,0.062,0,0,0,0,p
2017-02-06 18:06,1.572,0.066,0,0,0,0,p
2017-02-06 18:12,1.581,0.052,0,0,0,0,p
2017-02-06 18:18,1.624,0.075,0,0,0,0,p
2017-02-06 18:24,1.699,0.056,0,0,0,0,p
2017-02-06 18:30,1.696,0.066,0,0,0,0,p
2017-02-06 18:36,1.739,0.069,0,0,0,0,p
2017-02-06 18:42,1.772,0.062,1,0,0,0,p
2017-02-06 18:48,1.827,0.072,0,0,0,0,p
2017-02-06 18:54,1.867,0.079,0,0,0,0,p
2017-02-06 19:00,1.903,0.066,1,0,0,0,p
2017-02-06 19:06,1.923,0.075,0,0,0,0,p
2017-02-06 19:12,1.932,0.089,0,0,0,0,p
2017-02-06 19:18,1.949,0.079,1,0,0,0,p
2017-02-06 19:24,1.972,0.082,0,0,0,0,p
2017-02-06 19:30,2.001,0.075,1,0,0,0,p
2017-02-06 19:36,2.044,0.062,0,0,0,0,p
2017-02-06 19:42,2.087,0.069,0,0,0,0,p
2017-02-06 19:48,2.096,0.089,0,0,0,0,p
2017-02-06 19:54,2.113,0.066,1,0,0,0,p
2017-02-06 20:00,2.093,0.066,1,0,0,0,p
2017-02-06 20:06,2.133,0.072,0,0,0,0,p
2017-02-06 20:12,2.119,0.066,1,0,0,0,p
2017-02-06 20:18,2.149,0.062,0,0,0,0,p
2017-02-06 20:24,2.142,0.066,0,0,0,0,p
2017-02-06 20:30,2.133,0.052,1,0,0,0,p
2017-02-06 20:36,2.156,0.056,0,0,0,0,p
2017-02-06 20:42,2.123,0.059,0,0,0,0,p
2017-02-06 20:48,2.126,0.059,1,0,0,0,p
2017-02-06 20:54,2.087,0.066,0,0,0,0,p
2017-02-06 21:00,2.057,0.059,0,0,0,0,p
2017-02-06 21:06,2.034,0.075,0,0,0,0,p
2017-02-06 21:12,2.011,0.066,0,0,0,0,p
2017-02-06 21:18,2.001,0.069,0,0,0,0,p
2017-02-06 21:24,1.972,0.052,1,0,0,0,p
