Altura,hour
289 ,0
323 ,1
337 ,2
331 ,3
309 ,4
280 ,5
249 ,6
222 ,7
202 ,8
186 ,9
176 ,10
177 ,11
186 ,12
191 ,13
186 ,14
174 ,15
155 ,16
140 ,17
133 ,18
134 ,19
145 ,20
171 ,21
205 ,22
243 ,23
282 ,24
318 ,25
339 ,26
341 ,27
323 ,28
290 ,29
250 ,30
212 ,31
179 ,32
154 ,33
136 ,34
131 ,35
143 ,36
161 ,37
173 ,38
179 ,39
181 ,40
181 ,41
180 ,42
182 ,43
187 ,44
201 ,45
226 ,46
257 ,47
288 ,48
319 ,49
342 ,50
350 ,51
337 ,52
305 ,53
259 ,54
211 ,55
166 ,56
128 ,57
101 ,58
89 ,59
98 ,60
123 ,61
150 ,62
171 ,63
192 ,64
210 ,65
221 ,66
227 ,67
231 ,68
237 ,69
252 ,70
277 ,71
304 ,72
329 ,73
350 ,74
361 ,75
353 ,76
324 ,77
276 ,78
219 ,79
163 ,80
112 ,81
73 ,82
51 ,83
53 ,84
77 ,85
114 ,86
151 ,87
187 ,88
222 ,89
250 ,90
263 ,91
269 ,92
273 ,93
280 ,94
297 ,95
321 ,96
344 ,97
362 ,98
375 ,99
372 ,100
347 ,101
301 ,102
240 ,103
174 ,104
110 ,105
57 ,106
21 ,107
12 ,108
29 ,109
66 ,110
115 ,111
167 ,112
218 ,113
261 ,114
287 ,115
297 ,116
300 ,117
303 ,118
312 ,119
332 ,120
355 ,121
374 ,122
387 ,123
391 ,124
374 ,125
332 ,126
272 ,127
200 ,128
125 ,129
57 ,130
5 ,131
-20 ,132
-15 ,133
14 ,134
65 ,135
129 ,136
195 ,137
253 ,138
294 ,139
313 ,140
317 ,141
318 ,142
321 ,143
333 ,144
356 ,145
378 ,146
393 ,147
402 ,148
397 ,149
367 ,150
311 ,151
238 ,152
156 ,153
75 ,154
8 ,155
-36 ,156
-50 ,157
-34 ,158
8 ,159
74 ,160
153 ,161
227 ,162
282 ,163
313 ,164
324 ,165
324 ,166
323 ,167
327 ,168
344 ,169
370 ,170
390 ,171
402 ,172
408 ,173
395 ,174
352 ,175
283 ,176
199 ,177
111 ,178
29 ,179
-34 ,180
-69 ,181
-72 ,182
-46 ,183
11 ,184
93 ,185
181 ,186
253 ,187
298 ,188
319 ,189
323 ,190
320 ,191
318 ,192
327 ,193
349 ,194
375 ,195
392 ,196
402 ,197
405 ,198
383 ,199
328 ,200
248 ,201
158 ,202
66 ,203
-13 ,204
-69 ,205
-95 ,206
-88 ,207
-48 ,208
25 ,209
118 ,210
206 ,211
268 ,212
303 ,213
317 ,214
315 ,215
309 ,216
309 ,217
322 ,218
346 ,219
369 ,220
383 ,221
393 ,222
393 ,223
362 ,224
297 ,225
210 ,226
117 ,227
27 ,228
-47 ,229
-95 ,230
-112 ,231
-93 ,232
-37 ,233
48 ,234
143 ,235
223 ,236
276 ,237
303 ,238
310 ,239
303 ,240
295 ,241
297 ,242
311 ,243
332 ,244
351 ,245
364 ,246
375 ,247
371 ,248
333 ,249
261 ,250
174 ,251
83 ,252
-2 ,253
-69 ,254
-108 ,255
-113 ,256
-79 ,257
-11 ,258
77 ,259
166 ,260
237 ,261
282 ,262
301 ,263
298 ,264
286 ,265
277 ,266
278 ,267
289 ,268
305 ,269
320 ,270
335 ,271
347 ,272
339 ,273
298 ,274
229 ,275
147 ,276
61 ,277
-17 ,278
-73 ,279
-100 ,280
-91 ,281
-45 ,282
27 ,283
110 ,284
189 ,285
252 ,286
288 ,287
296 ,288
284 ,289
267 ,290
254 ,291
249 ,292
252 ,293
263 ,294
277 ,295
293 ,296
306 ,297
300 ,298
264 ,299
204 ,300
131 ,301
55 ,302
-10 ,303
-51 ,304
-64 ,305
-43 ,306
7 ,307
74 ,308
147 ,309
217 ,310
270 ,311
293 ,312
289 ,313
268 ,314
243 ,315
222 ,316
207 ,317
202 ,318
209 ,319
222 ,320
240 ,321
259 ,322
261 ,323
236 ,324
190 ,325
130 ,326
69 ,327
23 ,328
-2 ,329
-3 ,330
23 ,331
70 ,332
128 ,333
191 ,334
250 ,335
290 ,336
298 ,337
281 ,338
250 ,339
215 ,340
181 ,341
154 ,342
143 ,343
146 ,344
159 ,345
182 ,346
211 ,347
227 ,348
217 ,349
186 ,350
144 ,351
105 ,352
79 ,353
68 ,354
73 ,355
98 ,356
139 ,357
187 ,358
239 ,359
286 ,360
310 ,361
303 ,362
274 ,363
230 ,364
181 ,365
135 ,366
99 ,367
81 ,368
80 ,369
95 ,370
128 ,371
170 ,372
199 ,373
205 ,374
193 ,375
175 ,376
158 ,377
148 ,378
144 ,379
151 ,380
174 ,381
207 ,382
246 ,383
286 ,384
319 ,385
329 ,386
309 ,387
266 ,388
209 ,389
147 ,390
90 ,391
46 ,392
21 ,393
18 ,394
39 ,395
85 ,396
138 ,397
179 ,398
202 ,399
213 ,400
217 ,401
217 ,402
216 ,403
214 ,404
221 ,405
242 ,406
269 ,407
298 ,408
328 ,409
349 ,410
345 ,411
313 ,412
257 ,413
187 ,414
115 ,415
49 ,416
-3 ,417
