Date Time, Water Level, Sigma, I, L 
2017-01-01 00:00,0.544,0.024,0,0
2017-01-01 01:00,0.689,0.023,0,0
2017-01-01 02:00,0.739,0.023,0,0
2017-01-01 03:00,0.698,0.000,1,0
2017-01-01 04:00,0.594,0.016,0,0
2017-01-01 05:00,0.399,0.015,0,0
2017-01-01 06:00,0.222,0.022,0,0
2017-01-01 07:00,0.099,0.014,0,0
2017-01-01 08:00,0.058,0.013,0,0
2017-01-01 09:00,0.131,0.018,0,0
2017-01-01 10:00,0.257,0.017,0,0
2017-01-01 11:00,0.466,0.000,0,0
2017-01-01 12:00,0.662,0.015,0,0
2017-01-01 13:00,0.838,0.014,0,0
2017-01-01 14:00,0.936,0.014,0,0
2017-01-01 15:00,0.912,0.016,0,0
2017-01-01 16:00,0.783,0.014,0,0
2017-01-01 17:00,0.597,0.015,0,0
2017-01-01 18:00,0.383,0.016,0,0
2017-01-01 19:00,0.189,0.012,0,0
2017-01-01 20:00,0.059,0.013,0,0
2017-01-01 21:00,0.031,0.012,0,0
2017-01-01 22:00,0.091,0.014,0,0
2017-01-01 23:00,0.237,0.012,0,0
2017-01-02 00:00,0.432,0.013,0,0
2017-01-02 01:00,0.606,0.010,0,0
2017-01-02 02:00,0.721,0.012,0,0
2017-01-02 03:00,0.759,0.009,0,0
2017-01-02 04:00,0.689,0.012,0,0
2017-01-02 05:00,0.550,0.010,0,0
2017-01-02 06:00,0.360,0.016,0,0
2017-01-02 07:00,0.180,0.011,0,0
2017-01-02 08:00,0.087,0.014,0,0
2017-01-02 09:00,0.078,0.010,0,0
2017-01-02 10:00,0.138,0.009,0,0
2017-01-02 11:00,0.279,0.011,0,0
2017-01-02 12:00,0.477,0.000,0,0
2017-01-02 13:00,0.650,0.010,0,0
2017-01-02 14:00,0.785,0.011,0,0
2017-01-02 15:00,0.835,0.013,0,0
2017-01-02 16:00,0.780,0.014,0,0
2017-01-02 17:00,0.642,0.011,0,0
2017-01-02 18:00,0.447,0.013,0,0
2017-01-02 19:00,0.232,0.015,0,0
2017-01-02 20:00,0.080,0.015,0,0
2017-01-02 21:00,0.004,0.010,0,0
2017-01-02 22:00,0.008,0.007,0,0
2017-01-02 23:00,0.102,0.015,0,0
2017-01-03 00:00,0.249,0.017,0,0
2017-01-03 01:00,0.453,0.010,0,0
2017-01-03 02:00,0.591,0.015,0,0
2017-01-03 03:00,0.684,0.012,0,0
2017-01-03 04:00,0.707,0.000,0,0
2017-01-03 05:00,0.639,0.010,0,0
2017-01-03 06:00,0.517,0.009,0,0
2017-01-03 07:00,0.341,0.000,0,0
2017-01-03 08:00,0.198,0.009,0,0
2017-01-03 09:00,0.110,0.007,0,0
2017-01-03 10:00,0.121,0.007,0,0
2017-01-03 11:00,0.208,0.011,0,0
2017-01-03 12:00,0.369,0.011,0,0
2017-01-03 13:00,0.552,0.010,0,0
2017-01-03 14:00,0.719,0.000,0,0
2017-01-03 15:00,0.821,0.014,0,0
2017-01-03 16:00,0.854,0.014,0,0
2017-01-03 17:00,0.779,0.016,0,0
2017-01-03 18:00,0.634,0.000,0,0
2017-01-03 19:00,0.453,0.016,0,0
2017-01-03 20:00,0.272,0.013,0,0
2017-01-03 21:00,0.140,0.012,0,0
2017-01-03 22:00,0.092,0.010,0,0
2017-01-03 23:00,0.139,0.012,0,0
2017-01-04 00:00,0.252,0.000,0,0
2017-01-04 01:00,0.436,0.014,0,0
2017-01-04 02:00,0.612,0.011,0,0
2017-01-04 03:00,0.765,0.011,0,0
2017-01-04 04:00,0.835,0.015,0,0
2017-01-04 05:00,0.813,0.015,0,0
2017-01-04 06:00,0.726,0.015,0,0
2017-01-04 07:00,0.568,0.016,0,0
2017-01-04 08:00,0.403,0.023,0,0
2017-01-04 09:00,0.273,0.023,0,0
2017-01-04 10:00,0.210,0.018,0,0
2017-01-04 11:00,0.224,0.019,0,0
2017-01-04 12:00,0.312,0.019,0,0
2017-01-04 13:00,0.458,0.026,0,0
2017-01-04 14:00,0.629,0.019,0,0
2017-01-04 15:00,0.764,0.020,0,0
2017-01-04 16:00,0.860,0.019,0,0
2017-01-04 17:00,0.868,0.017,0,0
2017-01-04 18:00,0.787,0.019,0,0
2017-01-04 19:00,0.647,0.019,0,0
2017-01-04 20:00,0.464,0.021,0,0
2017-01-04 21:00,0.299,0.024,0,0
2017-01-04 22:00,0.185,0.023,0,0
2017-01-04 23:00,0.160,0.000,0,0
2017-01-05 00:00,0.220,0.017,0,0
2017-01-05 01:00,0.346,0.017,0,0
2017-01-05 02:00,0.512,0.019,0,0
2017-01-05 03:00,0.682,0.019,0,0
